,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ïΩãœ,ç≈ïpíl,íÜâõíl,ïWèÄïŒç∑
1.45387E+12,blue,yellow,0.067959184,11.55306122,blue,cyan,0.02739229,4.656689342,blue,magenta,0.039591837,6.730612245,yellow,blue,0.067959184,11.55306122,yellow,cyan,0.030612245,5.204081633,yellow,magenta,0.040657596,6.911791383,cyan,blue,0.02739229,4.656689342,cyan,yellow,0.030612245,5.204081633,cyan,magenta,0.02877551,4.891836735,magenta,blue,0.039591837,6.730612245,magenta,yellow,0.040657596,6.911791383,magenta,cyan,0.02877551,4.891836735,2.097119933,0.812538107,1.639794596,5.276847187,11.61111508,2.435426515,6.595044563,6.864038475,4.794229387,,,,,
1.45387E+12,blue,yellow,0.099070295,16.84195011,blue,cyan,0.046439909,7.89478458,blue,magenta,0.03952381,6.719047619,yellow,blue,0.099070295,16.84195011,yellow,cyan,0.041723356,7.092970522,yellow,magenta,0.049478458,8.411337868,cyan,blue,0.046439909,7.89478458,cyan,yellow,0.041723356,7.092970522,cyan,magenta,0.028798186,4.89569161,magenta,blue,0.03952381,6.719047619,magenta,yellow,0.049478458,8.411337868,magenta,cyan,0.028798186,4.89569161,5.904653534,0.36982766,-1.543101273,11.46737368,9.527889972,7.737332497,2.832512465,3.68396145,4.914190385,,,,,
1.45387E+12,blue,yellow,0.067891156,11.5414966,blue,cyan,0.046530612,7.910204082,blue,magenta,0.039591837,6.730612245,yellow,blue,0.067891156,11.5414966,yellow,cyan,0.040907029,6.954195011,yellow,magenta,0.049501134,8.415192744,cyan,blue,0.046530612,7.910204082,cyan,yellow,0.040907029,6.954195011,cyan,magenta,0.028798186,4.89569161,magenta,blue,0.039591837,6.730612245,magenta,yellow,0.049501134,8.415192744,magenta,cyan,0.028798186,4.89569161,7.019179836,1.72299803,10.6297679,12.4816802,7.56803877,7.324895122,4.009808105,3.565538056,4.685137285,,,,,
1.45387E+12,blue,yellow,0.068480726,11.64172336,blue,cyan,0.046485261,7.902494331,blue,magenta,0.039546485,6.722902494,yellow,blue,0.068480726,11.64172336,yellow,cyan,0.041088435,6.985034014,yellow,magenta,0.04430839,7.532426304,cyan,blue,0.046485261,7.902494331,cyan,yellow,0.041088435,6.985034014,cyan,magenta,0.026326531,4.475510204,magenta,blue,0.039546485,6.722902494,magenta,yellow,0.04430839,7.532426304,magenta,cyan,0.026326531,4.475510204,5.023684577,-0.927177659,3.273261356,11.03595083,6.110796136,4.604867823,9.432668825,4.424090546,5.320997651,,,,,
1.45387E+12,blue,yellow,0.067845805,11.53378685,blue,cyan,0.046439909,7.89478458,blue,magenta,0.039501134,6.715192744,yellow,blue,0.067845805,11.53378685,yellow,cyan,0.037006803,6.291156463,yellow,magenta,0.036077098,6.133106576,cyan,blue,0.046439909,7.89478458,cyan,yellow,0.037006803,6.291156463,cyan,magenta,0.02877551,4.891836735,magenta,blue,0.039501134,6.715192744,magenta,yellow,0.036077098,6.133106576,magenta,cyan,0.02877551,4.891836735,0.754938663,11.19299103,6.671280441,-0.253197101,3.315225371,3.575146514,8.146815569,5.575807294,3.533521655,,,,,
1.45387E+12,blue,yellow,0.067913832,11.54535147,blue,cyan,0.046507937,7.906349206,blue,magenta,0.039569161,6.72675737,yellow,blue,0.067913832,11.54535147,yellow,cyan,0.041791383,7.104535147,yellow,magenta,0.025056689,4.259637188,cyan,blue,0.046507937,7.906349206,cyan,yellow,0.041791383,7.104535147,cyan,magenta,0.017324263,2.945124717,magenta,blue,0.039569161,6.72675737,magenta,yellow,0.025056689,4.259637188,magenta,cyan,0.017324263,2.945124717,0.92506311,-0.442636419,1.201758406,9.933934583,5.691396869,3.416723147,7.95265196,5.269292298,5.383103638,,,,,
1.45387E+12,blue,yellow,0.067732426,11.51451247,blue,cyan,0.045963719,7.8138322,blue,magenta,0.039614512,6.73446712,yellow,blue,0.067732426,11.51451247,yellow,cyan,0.041269841,7.015873016,yellow,magenta,0.049501134,8.415192744,cyan,blue,0.045963719,7.8138322,cyan,yellow,0.041269841,7.015873016,cyan,magenta,0.022721088,3.862585034,magenta,blue,0.039614512,6.73446712,magenta,yellow,0.049501134,8.415192744,magenta,cyan,0.022721088,3.862585034,3.540167426,11.6624203,0.917752147,0.425063914,2.248404722,5.412955975,6.382683793,8.492958632,6.467932519,,,,,
1.45387E+12,blue,yellow,0.076235828,12.9600907,blue,cyan,0.046485261,7.902494331,blue,magenta,0.039637188,6.738321995,yellow,blue,0.076235828,12.9600907,yellow,cyan,0.028004535,4.760770975,yellow,magenta,0.028979592,4.926530612,cyan,blue,0.046485261,7.902494331,cyan,yellow,0.028004535,4.760770975,cyan,magenta,0.028843537,4.903401361,magenta,blue,0.039637188,6.738321995,magenta,yellow,0.028979592,4.926530612,magenta,cyan,0.028843537,4.903401361,3.074450512,11.95435769,5.905339519,-0.186535582,5.45440815,4.242726806,2.915293459,4.908089544,7.46239612,,,,,
1.45387E+12,blue,yellow,0.070068027,11.91156463,blue,cyan,0.046462585,7.898639456,blue,magenta,0.039637188,6.738321995,yellow,blue,0.070068027,11.91156463,yellow,cyan,0.041678005,7.085260771,yellow,magenta,0.040566893,6.896371882,cyan,blue,0.046462585,7.898639456,cyan,yellow,0.041678005,7.085260771,cyan,magenta,0.028798186,4.89569161,magenta,blue,0.039637188,6.738321995,magenta,yellow,0.040566893,6.896371882,magenta,cyan,0.028798186,4.89569161,1.667304585,0.557499568,6.155870192,12.89097015,4.165180361,6.575776667,1.295236357,6.843941782,6.350890455,,,,,
1.45387E+12,blue,yellow,0.067981859,11.5569161,blue,cyan,0.046553288,7.914058957,blue,magenta,0.039637188,6.738321995,yellow,blue,0.067981859,11.5569161,yellow,cyan,0.040839002,6.942630385,yellow,magenta,0.040657596,6.911791383,cyan,blue,0.046553288,7.914058957,cyan,yellow,0.040839002,6.942630385,cyan,magenta,0.028820862,4.899546485,magenta,blue,0.039637188,6.738321995,magenta,yellow,0.040657596,6.911791383,magenta,cyan,0.028820862,4.899546485,2.52832529,-1.119180105,3.01313941,8.276776392,10.91510554,6.430378884,4.439064818,2.669641452,7.930023491,,,,,
